ID	NUMBER	ENGLISH	RUSSIAN	SEMANTIC_LINKS	CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Starostin-2017-401-286	286	SHIT (n.)	ДЕРЬМО		N	675	FAECES (EXCREMENT)
Starostin-2017-401-287	287	SHOOT (arrow)	СТРЕЛЯТЬ	ARROW; THROW	V	1172	SHOOT
Starostin-2017-401-288	288	SHORT	КОРОТКИЙ	SMALL	A	1645	SHORT
Starostin-2017-401-289	289	SHOULDER	ПЛЕЧО	BACK1	N	1482	SHOULDER
Starostin-2017-401-290	290	SHOW (vb.)	ПОКАЗЫВАТЬ	SEE	V	1039	SHOW
Starostin-2017-401-291	291	SINEW	ЖИЛА	THREAD; VEIN	N	1137	TENDON
Starostin-2017-401-292	292	SING	ПЕТЬ	DANCE	V	1261	SING
Starostin-2017-401-293	293	SISTER	СЕСТРА		N	1263	SISTER
Starostin-2017-401-294	294	SIT	СИДЕТЬ	BE; LIVE2; STAY	V	1416	SIT
Starostin-2017-401-295	295	SKIN (human)	КОЖА (человека)	BARK1; SHELL	N	2613	SKIN (HUMAN)
Starostin-2017-401-296	296	SKY	НЕБО	RAIN1	N	1732	SKY
Starostin-2017-401-297	297	SLEEP	СПАТЬ	DREAM; LIE	V	1585	SLEEP
Starostin-2017-401-298	298	SMALL	МАЛЕНЬКИЙ	BAD; CHILD; LIGHT2; SHORT; THIN1; THIN2	A	1246	SMALL
Starostin-2017-401-299	299	SMELL (n.)	ЗАПАХ		N	3704	ODOR (SMELL)
Starostin-2017-401-300	300	SMOKE (n.)	ДЫМ	DUST	N	778	SMOKE (EXHAUST)
Starostin-2017-401-301	301	SNAKE	ЗМЕЯ	CRAWL; FISH; WORM	N	730	SNAKE
Starostin-2017-401-302	302	SNEEZE	ЧИХАТЬ		V	1621	SNEEZE
Starostin-2017-401-303	303	SNORE	ХРАПЕТЬ		V	1983	SNORE
Starostin-2017-401-304	304	SNOT	СОПЛИ		N	208	NASAL MUCUS (SNOT)
Starostin-2017-401-305	305	SOFT	МЯГКИЙ		A	1856	SOFT
Starostin-2017-401-306	306	SON	СЫН	CHILD	N	1620	SON
Starostin-2017-401-307	307	SOUR	КИСЛЫЙ	BITTER; RAW; ROTTEN	A	1906	SOUR
Starostin-2017-401-308	308	SPEAK	ГОВОРИТЬ	ANSWER; SAY	V	1623	SPEAK
Starostin-2017-401-309	309	SPEAR (n.)	КОПЬЕ		N	945	SPEAR
Starostin-2017-401-310	310	SPIT (vb.)	ПЛЕВАТЬ	SALIVA	V	1440	SPIT
Starostin-2017-401-311	311	SPLEEN	СЕЛЕЗЕНКА		N	1744	SPLEEN
Starostin-2017-401-312	312	SPLIT	РАСКОЛОТЬ	TEAR1	V	1437	SPLIT
Starostin-2017-401-313	313	STAND	СТОЯТЬ		V	1442	STAND
Starostin-2017-401-314	314	STAR	ЗВЕЗДА	SHINE	N	1430	STAR
Starostin-2017-401-315	315	STAY (=remain)	ОСТАВАТЬСЯ	SIT	V	987	REMAIN
Starostin-2017-401-316	316	STEAL (vb.)	КРАСТЬ		V	713	STEAL
Starostin-2017-401-317	317	STEP (n.)	ШАГ		N	1158	STEP
Starostin-2017-401-318	318	STICK (n.)	ПАЛКА	TREE; WOOD	N	1295	STICK
Starostin-2017-401-319	319	STOMACH	ЖЕЛУДОК	BELLY	N	819	STOMACH
Starostin-2017-401-320	320	STONE	КАМЕНЬ	MOUNTAIN	N	668	ROCK
Starostin-2017-401-321	321	STRONG	СИЛЬНЫЙ	HARD; VERY	A	785	STRONG
Starostin-2017-401-322	322	SUCK	СОСАТЬ	BREAST; DRINK; SWALLOW	V	1421	SUCK
Starostin-2017-401-323	323	SUN	СОЛНЦЕ		N	1343	SUN
Starostin-2017-401-324	324	SWALLOW (vb.)	ГЛОТАТЬ	DRINK; SUCK	V	897	SWALLOW
Starostin-2017-401-325	325	SWEAT	ПОТ	HOT	N	125	SWEAT (SUBSTANCE)
Starostin-2017-401-326	326	SWEEP (vb.)	ПОДМЕТАТЬ		V	230	SWEEP
Starostin-2017-401-327	327	SWEET (adj.)	СЛАДКИЙ		A	717	SWEET
Starostin-2017-401-328	328	SWELL (vb.)	РАСПУХАТЬ	BIG	V	1573	SWELL
Starostin-2017-401-329	329	SWIM	ПЛАВАТЬ	WASH; WATER	V	1439	SWIM
Starostin-2017-401-330	330	TAIL	ХВОСТ	BUTTOCK; HAIR2; PENIS	N	1220	TAIL
Starostin-2017-401-331	331	TAKE	БРАТЬ	CATCH; GIVE; HAND; PUT	V	1749	TAKE
Starostin-2017-401-332	332	TASTE (tr.)	ПРОБОВАТЬ		V	21	TASTE (SOMETHING)
Starostin-2017-401-333	333	TEAR1 (vb.)	РВАТЬ (на части)	SPLIT	V	1735	TEAR (SHRED)
Starostin-2017-401-334	334	TEAR2 (n.)	СЛЕЗА	CRY; WATER	N	1651	TEAR (OF EYE)
Starostin-2017-401-335	335	TEMPLE (of head)	ВИСОК		N	1604	TEMPLES
Starostin-2017-401-336	336	THAT1 (intermediate)	ТОТ (посередине)	ONE; THAT2	P		
Starostin-2017-401-337	337	THAT2 (distal)	ТОТ (далеко)	THAT1	P		
Starostin-2017-401-338	338	THIGH	БЕДРО	LEG	N	471	UPPER LEG (THIGH)
Starostin-2017-401-339	339	THIN1 (1D)	ТОНКИЙ1	NARROW; SMALL	A	2305	THIN (OF HAIR AND THREAD)
Starostin-2017-401-340	340	THIN2 (2D)	ТОНКИЙ2	NARROW; SMALL	A	2306	THIN (OF LEAF AND CLOTH)
Starostin-2017-401-341	341	THING	ВЕЩЬ	GOOD; WHAT; WORD	N	738	THING
Starostin-2017-401-342	342	THINK	ДУМАТЬ	COUNT; KNOW; SAY	V	2271	THINK
Starostin-2017-401-343	343	THIS	ЭТОТ	NEAR; ONE	P	1214	THIS
Starostin-2017-401-344	344	THORN	КОЛЮЧКА		N	124	THORN
Starostin-2017-401-345	345	THOU1 (dir.)	ТЫ1	THOU2; WE2; YOU	P	1215	THOU
Starostin-2017-401-346	346	THOU2 (indir.)	ТЫ2	THOU1; YOU	P		
Starostin-2017-401-347	347	THREE	ТРИ		Q	492	THREE
Starostin-2017-401-348	348	THROAT	ГОРЛО	NECK	N	1346	THROAT
Starostin-2017-401-349	349	THROW	БРОСАТЬ	PUT; SHOOT	V	1456	THROW
Starostin-2017-401-350	350	TIRED	УСТАЛЫЙ		A	1757	TIRED
Starostin-2017-401-351	351	TONGUE	ЯЗЫК	LICK	N	1205	TONGUE
Starostin-2017-401-352	352	TOOTH	ЗУБ	BITE	N	1380	TOOTH
Starostin-2017-401-353	353	TOP	ВЕРХ	HEAD; UP(PER)	N	1753	TOP
Starostin-2017-401-354	354	TOUCH (vb.)	ТРОГАТЬ		V	1892	TOUCH
Starostin-2017-401-355	355	TREE	ДЕРЕВО	BRANCH; FOREST; STICK; WOOD	N	906	TREE
Starostin-2017-401-356	356	TREMBLE	ДРОЖАТЬ	FREEZE; SHAKE	V	52	SHIVER
Starostin-2017-401-357	357	TURN (intr.)	ВЕРТЕТЬСЯ	ROLL	V	1444	TURN AROUND
Starostin-2017-401-358	358	TWINS	БЛИЗНЕЦЫ	TWO	N	1005	TWINS
Starostin-2017-401-359	359	TWO	ДВА	FOUR; OTHER; PAIR; TWINS	Q	1498	TWO
Starostin-2017-401-360	360	UDDER	ВЫМЯ	BREAST	N	154	UDDER
Starostin-2017-401-361	361	UMBILICAL	ПУПОВИНА	NAVEL	N	2663	UMBILICAL CORD
Starostin-2017-401-362	362	UNDERSTAND	ПОНИМАТЬ	HEAR; KNOW; SEE	V	1536	UNDERSTAND
Starostin-2017-401-363	363	UP(PER)	ВЕРХНИЙ		A	1591	UP
Starostin-2017-401-364	364	URINE	МОЧА		N	1142	URINE
Starostin-2017-401-365	365	VAGINA	ВЛАГАЛИЩЕ		N	1836	VAGINA
Starostin-2017-401-366	366	VEIN	ЖИЛА	ROOT; SINEW	N	1924	VEIN
Starostin-2017-401-367	367	VERY	ОЧЕНЬ	BIG; MANY; STRONG	Q	1311	VERY
Starostin-2017-401-368	368	VOMIT	БЛЕВАТЬ		V	1278	VOMIT
Starostin-2017-401-369	369	WAIST	ПОЯСНИЦА	BACK1	N	1681	WAIST
Starostin-2017-401-370	370	WAIT	ЖДАТЬ		V	1590	WAIT (FOR)
Starostin-2017-401-371	371	WAKE (intr.)	ПРОСЫПАТЬСЯ	EYE	V	1602	WAKE UP
Starostin-2017-401-372	372	WALK	ХОДИТЬ	COME; GO; FOOT	V	1443	WALK
Starostin-2017-401-373	373	WANT	ХОТЕТЬ	LOVE	V	1784	WANT
Starostin-2017-401-374	374	WAR	ВОЙНА	ENEMY	N	935	WAR
Starostin-2017-401-375	375	WARM	ТЕПЛЫЙ	HOT	A	1232	WARM
Starostin-2017-401-376	376	WART	БОРОДАВКА		N	2665	WART
Starostin-2017-401-377	377	WASH (vb.)	МЫТЬ	SWIM; WET	V	1453	WASH
Starostin-2017-401-378	378	WATER	ВОДА	DEW; RAIN1; RIVER; SWIM; TEAR2	N	948	WATER
Starostin-2017-401-379	379	WE1 (excl., pl., dir., or gen.)	МЫ1	I1; I2; WE2	P		
Starostin-2017-401-380	380	WE2 (incl., du., or indir.)	МЫ2	I1; I2; WE1	P		
Starostin-2017-401-381	381	WEAR (vb.)	НОСИТЬ (одежду)	CARRY	V	976	WEAR
Starostin-2017-401-382	382	WET	МОКРЫЙ	DEW; RAIN1; RAW; WASH	A	1726	WET
Starostin-2017-401-383	383	WHAT	ЧТО	THING; WHO	P	1236	WHAT
Starostin-2017-401-384	384	WHISPER (vb.)	ШЕПТАТЬ		V	55	WHISPER
Starostin-2017-401-385	385	WHISTLE (vb.)	СВИСТЕТЬ		V	1025	WHISTLE
Starostin-2017-401-386	386	WHITE	БЕЛЫЙ	CLEAN; MOON; NEW; SHINE	A	1335	WHITE
Starostin-2017-401-387	387	WHO	КТО	PERSON; WHAT	P	1235	WHO
Starostin-2017-401-388	388	WIDE	ШИРОКИЙ		A	1243	WIDE
Starostin-2017-401-389	389	WIND	ВЕТЕР	BLOW	N	960	WIND
Starostin-2017-401-390	390	WING	КРЫЛО	FEATHER	N	1257	WING
Starostin-2017-401-391	391	WOMAN	ЖЕНЩИНА	FEMALE; GIRL; MOTHER	N	962	WOMAN
Starostin-2017-401-392	392	WOOD (firewood)	ДРОВА	STICK; TREE	N	1803	WOOD
Starostin-2017-401-393	393	WORD	СЛОВО	NAME; SAY; THING	N	1599	WORD
Starostin-2017-401-394	394	WORM	ЧЕРВЯК	SNAKE	N	1219	WORM
Starostin-2017-401-395	395	WOUND (n.)	РАНА	BLOOD; HIT	N	1109	WOUND
Starostin-2017-401-396	396	YAWN (vb.)	ЗЕВАТЬ	OPEN	V	1028	YAWN
Starostin-2017-401-397	397	YEAR	ГОД	OLD1; OLD2	N	1226	YEAR
Starostin-2017-401-398	398	YELLOW	ЖЕЛТЫЙ	GREEN	A	1424	YELLOW
Starostin-2017-401-399	399	YOUNG	МОЛОДОЙ	GREEN; NEW	A	1207	YOUNG
Starostin-2017-401-400	400	YOU (pl.)	ВЫ	THOU1; THOU2	P	1213	YOU
Starostin-2017-401-401	401	KNIFE	НОЖ	CUT	N	1352	KNIFE
